Title,lat,lon,form_add
"The Dead Pool (1988)",37.8018575000,-122.4128610000,"1954 Mason Street (North Beach)"
"The Dead Pool (1988)",43.6170885000,18.9218677000,"20th & DeHaro Streets (Potrero Hill)"
"The Dead Pool (1988)",-17.4524070000,49.2857576000,"22nd & Wisconsin Streets (Potrero Hill)"
"The Dead Pool (1988)",34.5032736000,-82.9134198000,"23rd & Iowa Streets (Dogpatch)"
"The Dead Pool (1988)",37.7875340000,-122.4899240000,"550 El Camino Del Mar (Seacliff)"
"The Dead Pool (1988)",37.7760680000,-122.4326610000,"710 Steiner Street (Hayes Valley)"
"The Dead Pool (1988)",44.3251230000,-84.7686750000,"Carl & Cole Streets (Cole Valley)"
"The Dead Pool (1988)",-21.5640906000,-50.4493727000,"Clementina & Sumner Streets"
"The Dead Pool (1988)",37.7628500000,-122.4341890000,"Eber Electronics (2355 Market Street, Castro)"
"The Dead Pool (1988)",38.6779591000,-121.1760583000,"Folsom & Essex Streets"
"The Dead Pool (1988)",37.8196665000,-122.3437762000,"Fremont Street Exit of Bay Bridge"
"The Dead Pool (1988)",45.4444900000,-111.7315463000,"McAllister & Scott Streets (Hayes Valley)"
"The Dead Pool (1988)",37.7606045000,-122.3910578000,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)"
"The Dead Pool (1988)",37.7954260000,-122.4058750000,"Nam Yuen Restaurant (740 Washington Street, Chinatown)"
"The Dead Pool (1988)",37.7749295000,-122.4194155000,"New Asia Restaurant (772 Pacific Avenue at Grant)"
"The Dead Pool (1988)",37.7941048000,-122.4093554000,"One Thousand Powell Apartments (1000 Powell Street)"
"The Dead Pool (1988)",37.7983669000,-122.3945157000,"Pier 3 (The Embarcadero)"
"The Dead Pool (1988)",47.0675877000,-122.1295269000,"Pierce & California Streets (Pacific Heights)"
"The Dead Pool (1988)",31.5627899000,-82.4671784000,"Pierce St. & Golden Gate Avenue (Hayes Valley)"
"The Dead Pool (1988)",37.7947056000,-122.4049685000,"Posrtsmouth Square (Chinatown)"
"The Dead Pool (1988)",37.7606045000,-122.3910578000,"San Francisco Drydock (The Dogpatch)"
"The Dead Pool (1988)",37.8072779000,-122.4194710000,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)"
"The Dead Pool (1988)",37.8008190000,-122.4102693000,"Washington Square Park (North Beach)"
"Time After Time (1979)",37.7971992000,-122.4346547000,"100 Block of Union Street (Cow Hollow)"
"Time After Time (1979)",37.8009146000,-122.4438576000,"2340 Francisco Street"
"Time After Time (1979)",37.7983359000,-122.4030815000,"Broadway at Osgood Street (North Beach)"
"Time After Time (1979)",37.7699790000,-122.4662880000,"California Academy of Sciences (Golden Gate Park)"
"Time After Time (1979)",29.5653582000,-82.9584583000,"Chestnut & Davisadero Streets (Marina District)"
"Time After Time (1979)",37.8056595000,-122.4223079000,"Ghiradelli Square (900 North Point Street, Fisherman's Wharf)"
"Time After Time (1979)",37.8135867000,-122.4780624000,"Golden Gate Bridge"
"Time After Time (1979)",37.7690400000,-122.4835193000,"Golden Gate Park"
"Time After Time (1979)",29.8162646000,-95.3706771000,"Intersection of Fulton & 6th Streets (Chinatown)"
"Time After Time (1979)",37.7749295000,-122.4194155000,"Justin Herman Plaza"
"Time After Time (1979)",41.8800296000,-88.0078435000,"Lombard & Broderick Streets (Marina District)"
"Time After Time (1979)",41.8800296000,-88.0078435000,"Lombard & Divisadero Streets (Marina District)"
"Time After Time (1979)",41.8800296000,-88.0078435000,"Lombard & Fillmore Streets (Marina District)"
"Time After Time (1979)",41.8800296000,-88.0078435000,"Lombard & Laguna Streets (Marina District)"
"Time After Time (1979)",37.8066235000,-122.4391137000,"Marina Green (Marina District)"
"Time After Time (1979)",37.7749295000,-122.4194155000,"Merchant Exchange (465 California Street at Leidesdortt)"
"Time After Time (1979)",37.7749295000,-122.4194155000,"Old St. Mary's Church (660 California Street at Grant)"
"Time After Time (1979)",37.7948830000,-122.3998137000,"One Embarcadero Center (Financial District)"
"Bullitt (1968)",43.6170885000,18.9218677000,"20th & Vermont Streets (Potrero Hill)"
"Bullitt (1968)",37.7946320000,-122.4420270000,"2700 Vallejo Street (Pacific Heights)"
"Bullitt (1968)",37.8196665000,-122.3437762000,"Bay Bridge"
"Bullitt (1968)",37.7254235000,-122.3929225000,"Bayshore Blvd near Cesar Chavez (Bayview)"
"Bullitt (1968)",37.7928362000,-122.4109034000,"Brocklebank Apartments (1000 Mason Street)"
"Bullitt (1968)",37.7974331000,-122.4329499000,"Café Cantata (2040 Union Street)"
"Bullitt (1968)",37.7749295000,-122.4194155000,"Candlestick Park Exit, Highway 101"
"Bullitt (1968)",26.3034042000,-98.1152858000,"Cesar Chavez & Mission Street (Mission)"
"Bullitt (1968)",39.9611755000,-82.9987942000,"Columbus & Lombard Streets (North Beach)"
"Bullitt (1968)",37.7981028000,-122.4057345000,"Enrico's Café (504 Broadway)"
"Bullitt (1968)",43.7227800000,-84.2472200000,"Larkin & Chestnut Streets (Russian Hill)"
"Bullitt (1968)",43.7227800000,-84.2472200000,"Larkin & Francisco Streets (Russian Hill)"
"Bullitt (1968)",34.0401786000,-84.3159570000,"Mansell & University Streets (Vistacon Valley)"
"Bullitt (1968)",37.8066235000,-122.4391137000,"Marina Green (Marina District)"
